mapping_id,case_id,document_id,sentence_id,expression,source_domain_primary,source_domain_secondary,target_domain,conceptual_metaphor,cluster_id,confidence,mipvu_ids,rival_reading,mapping_status
lincoln-cmt-011,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p08_s05,rival / drapery,object_material,,political_order,POLITICAL ORDER IS OBJECT MATERIAL,lincoln-01-body-organism,0.82,lincoln-lyceum-address_s01_p08_s05_lu043;lincoln-lyceum-address_s01_p08_s05_lu053,The sentence explicitly compares corpses on trees with moss or drapery.,provisional
lincoln-cmt-012,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p09_s02,sacrificed,sacrifice,,political_order,POLITICAL ORDER IS SACRIFICE,lincoln-08-sacrificial-death-gift,0.82,lincoln-lyceum-address_s01_p09_s02_lu006,"The killing is historical violence, not a ritual offering, but is named through sacrificial vocabulary.",provisional
lincoln-cmt-013,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p11_s05,swept / stage / existence,theater_stage,,war_death,WAR DEATH IS THEATER STAGE,lincoln-08-sacrificial-death-gift,0.78,lincoln-lyceum-address_s01_p11_s05_lu005;lincoln-lyceum-address_s01_p11_s05_lu008;lincoln-lyceum-address_s01_p11_s05_lu010,Human death or removal is framed through theatrical stage imagery.,provisional
lincoln-cmt-014,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p11_s11,faces / fall / victims / ravages / walls / erected / defense / trodden,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.82,lincoln-lyceum-address_s01_p11_s11_lu013;lincoln-lyceum-address_s01_p11_s11_lu025;lincoln-lyceum-address_s01_p11_s11_lu026;lincoln-lyceum-address_s01_p11_s11_lu029;lincoln-lyceum-address_s01_p11_s11_lu044;lincoln-lyceum-address_s01_p11_s11_lu045;lincoln-lyceum-address_s01_p11_s11_lu048;lincoln-lyceum-address_s01_p11_s11_lu057,"Political-legal harm is represented through bodily orientation, falling, and ravaging.",provisional
lincoln-cmt-015,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p11_s14,bane / annihilation,body,,government,GOVERNMENT IS BODY,lincoln-01-body-organism,0.74,lincoln-lyceum-address_s01_p11_s14_lu008;lincoln-lyceum-address_s01_p11_s14_lu028,Government is abstract-institutional but construed as an entity that can be bane or be annihilated.,provisional
lincoln-cmt-016,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p11_s15,spill / blood,sacrifice,,citizenship,CITIZENSHIP IS SACRIFICE,lincoln-08-sacrificial-death-gift,0.82,lincoln-lyceum-address_s01_p11_s15_lu026;lincoln-lyceum-address_s01_p11_s15_lu028,"Revolutionary inheritance and legal liberty are treated as bodily/material things that can be spilled, trampled, or torn.",provisional
lincoln-cmt-017,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,endure,nature_organism,,nation,NATION IS NATURE ORGANISM,lincoln-01-body-organism,0.72,lincoln-lyceum-address_s01_p12_s01_lu025,"A polity is not a biological organism, but its political existence is construed as bodily life or death.",provisional
lincoln-cmt-018,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p14_s03,blood,sacrifice,,citizenship,CITIZENSHIP IS SACRIFICE,lincoln-08-sacrificial-death-gift,0.82,lincoln-lyceum-address_s01_p14_s03_lu016,"Revolutionary inheritance and legal liberty are treated as bodily/material things that can be spilled, trampled, or torn.",provisional
lincoln-cmt-019,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p14_s05,trample / blood / tear / charter,sacrifice,,citizenship,CITIZENSHIP IS SACRIFICE,lincoln-08-sacrificial-death-gift,0.775,lincoln-lyceum-address_s01_p14_s05_lu012;lincoln-lyceum-address_s01_p14_s05_lu015;lincoln-lyceum-address_s01_p14_s05_lu021;lincoln-lyceum-address_s01_p14_s05_lu023,"Revolutionary inheritance and legal liberty are treated as bodily/material things that can be spilled, trampled, or torn.",provisional
lincoln-cmt-020,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p14_s06,breathed,religion_providence,,law,LAW IS RELIGION PROVIDENCE,lincoln-02-covenant-oath,0.78,lincoln-lyceum-address_s01_p14_s06_lu007,Legal-political reverence is explicitly understood through religious ritual vocabulary.,provisional
lincoln-cmt-021,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p14_s07,political / religion / sacrifice / altars,religion_providence,,law,LAW IS RELIGION PROVIDENCE,lincoln-02-covenant-oath,0.885,lincoln-lyceum-address_s01_p14_s07_lu008;lincoln-lyceum-address_s01_p14_s07_lu009;lincoln-lyceum-address_s01_p14_s07_lu039;lincoln-lyceum-address_s01_p14_s07_lu043,Legal-political reverence is explicitly understood through religious ritual vocabulary.,provisional
lincoln-cmt-022,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s05,props / support / decayed / crumbled,architecture_building,,government,GOVERNMENT IS ARCHITECTURE BUILDING,lincoln-01-body-organism,0.86,lincoln-lyceum-address_s01_p19_s05_lu004;lincoln-lyceum-address_s01_p19_s05_lu006;lincoln-lyceum-address_s01_p19_s05_lu014;lincoln-lyceum-address_s01_p19_s05_lu016,Institutional maintenance is framed through structural support and material decay.,provisional
lincoln-cmt-023,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s06,experiment / successful,experiment_science,,republic,REPUBLIC IS EXPERIMENT SCIENCE,lincoln-03-experiment-proposition,0.74,lincoln-lyceum-address_s01_p19_s06_lu013;lincoln-lyceum-address_s01_p19_s06_lu021,"A political order is not a laboratory object, but its success is framed as a trial or proof.",provisional
lincoln-cmt-024,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s07,experiment,experiment_science,,republic,REPUBLIC IS EXPERIMENT SCIENCE,lincoln-03-experiment-proposition,0.74,lincoln-lyceum-address_s01_p19_s07_lu019,"A political order is not a laboratory object, but its success is framed as a trial or proof.",provisional
lincoln-cmt-025,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s08,staked / linked,object_material,,political_order,POLITICAL ORDER IS OBJECT MATERIAL,lincoln-01-body-organism,0.76,lincoln-lyceum-address_s01_p19_s08_lu004;lincoln-lyceum-address_s01_p19_s08_lu011,Abstract destiny and ambition are represented as attached to an undertaking.,provisional
lincoln-cmt-026,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s10,immortalized,life_death,,history,HISTORY IS LIFE DEATH,lincoln-05-fathers-inheritance,0.78,lincoln-lyceum-address_s01_p19_s10_lu008,Reputation and memory are treated through bodily life/death or physical descent.,provisional
lincoln-cmt-027,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s11,sink / forgotten,life_death,,history,HISTORY IS LIFE DEATH,lincoln-05-fathers-inheritance,0.78,lincoln-lyceum-address_s01_p19_s11_lu020;lincoln-lyceum-address_s01_p19_s11_lu023,Reputation and memory are treated through bodily life/death or physical descent.,provisional
lincoln-cmt-028,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s13,experiment / successful / deathless,experiment_science,,republic,REPUBLIC IS EXPERIMENT SCIENCE,lincoln-03-experiment-proposition,0.753,lincoln-lyceum-address_s01_p19_s13_lu002;lincoln-lyceum-address_s01_p19_s13_lu004;lincoln-lyceum-address_s01_p19_s13_lu010,"A political order is not a laboratory object, but its success is framed as a trial or proof.",provisional
lincoln-cmt-029,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s14,game / caught / chase,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.88,lincoln-lyceum-address_s01_p19_s14_lu003;lincoln-lyceum-address_s01_p19_s14_lu005;lincoln-lyceum-address_s01_p19_s14_lu021,"Ambition and fame are not literal game or crops, but are framed through hunting and agriculture.",provisional
lincoln-cmt-030,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s15,field / glory / harvested / crop,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.88,lincoln-lyceum-address_s01_p19_s15_lu002;lincoln-lyceum-address_s01_p19_s15_lu004;lincoln-lyceum-address_s01_p19_s15_lu006;lincoln-lyceum-address_s01_p19_s15_lu009,"Ambition and fame are not literal game or crops, but are framed through hunting and agriculture.",provisional
lincoln-cmt-031,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s16,reapers / field,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.88,lincoln-lyceum-address_s01_p19_s16_lu003;lincoln-lyceum-address_s01_p19_s16_lu012,"Ambition and fame are not literal game or crops, but are framed through hunting and agriculture.",provisional
lincoln-cmt-032,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s17,spring,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.72,lincoln-lyceum-address_s01_p19_s17_lu027,Abstract danger or political actors are represented as emerging upward like growth.,provisional
lincoln-cmt-033,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s19,edifice / erected,architecture_building,,government,GOVERNMENT IS ARCHITECTURE BUILDING,lincoln-01-body-organism,0.88,lincoln-lyceum-address_s01_p19_s19_lu016;lincoln-lyceum-address_s01_p19_s19_lu020,Political work is construed as construction or demolition of a building.,provisional
lincoln-cmt-034,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s21,family / lion / tribe / eagle,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.75,lincoln-lyceum-address_s01_p19_s21_lu041;lincoln-lyceum-address_s01_p19_s21_lu044;lincoln-lyceum-address_s01_p19_s21_lu047;lincoln-lyceum-address_s01_p19_s21_lu050,"Abstract ambition is repeatedly construed through embodied motion, animal rank, appetite, and fire.",provisional
lincoln-cmt-035,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s24,Towering / path,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.75,lincoln-lyceum-address_s01_p19_s24_lu001;lincoln-lyceum-address_s01_p19_s24_lu006,"Abstract ambition is repeatedly construed through embodied motion, animal rank, appetite, and fire.",provisional
lincoln-cmt-036,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s25,regions,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.75,lincoln-lyceum-address_s01_p19_s25_lu003,"Abstract ambition is repeatedly construed through embodied motion, animal rank, appetite, and fire.",provisional
lincoln-cmt-037,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s28,footsteps,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.75,lincoln-lyceum-address_s01_p19_s28_lu007,"Abstract ambition is repeatedly construed through embodied motion, animal rank, appetite, and fire.",provisional
lincoln-cmt-038,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s29,thirsts / burns,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.75,lincoln-lyceum-address_s01_p19_s29_lu002;lincoln-lyceum-address_s01_p19_s29_lu004,"Abstract ambition is repeatedly construed through embodied motion, animal rank, appetite, and fire.",provisional
lincoln-cmt-039,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p19_s30,stretch / spring,body,,political_order,POLITICAL ORDER IS BODY,lincoln-01-body-organism,0.735,lincoln-lyceum-address_s01_p19_s30_lu025;lincoln-lyceum-address_s01_p19_s30_lu030,"Abstract ambition is repeatedly construed through embodied motion, animal rank, appetite, and fire.",provisional
lincoln-cmt-040,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p20_s01,building / pulling,architecture_building,,government,GOVERNMENT IS ARCHITECTURE BUILDING,lincoln-01-body-organism,0.88,lincoln-lyceum-address_s01_p20_s01_lu038;lincoln-lyceum-address_s01_p20_s01_lu048,Political work is construed as construction or demolition of a building.,provisional
lincoln-cmt-041,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p23_s01,fade,body,,history,HISTORY IS BODY,lincoln-01-body-organism,0.76,lincoln-lyceum-address_s01_p23_s01_lu007,"Abstract passions and memories are treated as bodies, agents, or lights.",provisional
lincoln-cmt-042,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s01,forgotten / fade / dim,life_death,,history,HISTORY IS LIFE DEATH,lincoln-05-fathers-inheritance,0.767,lincoln-lyceum-address_s01_p24_s01_lu020;lincoln-lyceum-address_s01_p24_s01_lu028;lincoln-lyceum-address_s01_p24_s01_lu040,Reputation and memory are treated through bodily life/death or physical descent.,provisional
lincoln-cmt-043,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,living / history / family / history / bearing / testimonies / history / read,body,,history,HISTORY IS BODY,lincoln-01-body-organism,0.846,lincoln-lyceum-address_s01_p24_s05_lu022;lincoln-lyceum-address_s01_p24_s05_lu023;lincoln-lyceum-address_s01_p24_s05_lu030;lincoln-lyceum-address_s01_p24_s05_lu032;lincoln-lyceum-address_s01_p24_s05_lu033;lincoln-lyceum-address_s01_p24_s05_lu036;lincoln-lyceum-address_s01_p24_s05_lu060;lincoln-lyceum-address_s01_p24_s05_lu065,Historical memory is embodied in persons and wounds as if it were a living readable document.,provisional
lincoln-cmt-044,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s08,fortress / strength / artillery / time / leveling / walls,war_combat,,history,HISTORY IS WAR COMBAT,lincoln-05-fathers-inheritance,0.95,lincoln-lyceum-address_s01_p24_s08_lu004;lincoln-lyceum-address_s01_p24_s08_lu006;lincoln-lyceum-address_s01_p24_s08_lu016;lincoln-lyceum-address_s01_p24_s08_lu018;lincoln-lyceum-address_s01_p24_s08_lu022;lincoln-lyceum-address_s01_p24_s08_lu025,"Memory is not a fortification, and time does not literally fire artillery.",provisional
lincoln-cmt-045,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s10,forest / oaks / hurricane / trunk / verdure / foliage / murmur / breezes / limbs / storms / sink,nature_organism,,history,HISTORY IS NATURE ORGANISM,lincoln-01-body-organism,0.925,lincoln-lyceum-address_s01_p24_s10_lu004;lincoln-lyceum-address_s01_p24_s10_lu007;lincoln-lyceum-address_s01_p24_s10_lu011;lincoln-lyceum-address_s01_p24_s10_lu024;lincoln-lyceum-address_s01_p24_s10_lu028;lincoln-lyceum-address_s01_p24_s10_lu032;lincoln-lyceum-address_s01_p24_s10_lu037;lincoln-lyceum-address_s01_p24_s10_lu043;lincoln-lyceum-address_s01_p24_s10_lu050;lincoln-lyceum-address_s01_p24_s10_lu055;lincoln-lyceum-address_s01_p24_s10_lu058,Human generations and memory are explicitly construed as trees weathered by storms.,provisional
lincoln-cmt-046,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p25_s01,pillars / temple / liberty / crumbled / temple / fall / supply / pillars / hewn / quarry / reason,architecture_building,,freedom,FREEDOM IS ARCHITECTURE BUILDING,lincoln-01-body-organism,0.95,lincoln-lyceum-address_s01_p25_s01_lu003;lincoln-lyceum-address_s01_p25_s01_lu006;lincoln-lyceum-address_s01_p25_s01_lu008;lincoln-lyceum-address_s01_p25_s01_lu014;lincoln-lyceum-address_s01_p25_s01_lu017;lincoln-lyceum-address_s01_p25_s01_lu019;lincoln-lyceum-address_s01_p25_s01_lu024;lincoln-lyceum-address_s01_p25_s01_lu029;lincoln-lyceum-address_s01_p25_s01_lu030;lincoln-lyceum-address_s01_p25_s01_lu034;lincoln-lyceum-address_s01_p25_s01_lu037,Political liberty and rational support are explicitly construed as architectural materials.,provisional
lincoln-cmt-047,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p25_s03,enemy,body,,citizenship,CITIZENSHIP IS BODY,lincoln-01-body-organism,0.78,lincoln-lyceum-address_s01_p25_s03_lu007,Abstract civic faculties and memorial expectation are treated through bodily and material processes.,provisional
lincoln-cmt-048,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p25_s04,materials / support / defense,body,,citizenship,CITIZENSHIP IS BODY,lincoln-01-body-organism,0.78,lincoln-lyceum-address_s01_p25_s04_lu010;lincoln-lyceum-address_s01_p25_s04_lu014;lincoln-lyceum-address_s01_p25_s04_lu016,Abstract civic faculties and memorial expectation are treated through bodily and material processes.,provisional
lincoln-cmt-049,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p25_s05,materials / moulded / sleep / trump / awaken,body,,citizenship,CITIZENSHIP IS BODY,lincoln-01-body-organism,0.78,lincoln-lyceum-address_s01_p25_s05_lu003;lincoln-lyceum-address_s01_p25_s05_lu005;lincoln-lyceum-address_s01_p25_s05_lu047;lincoln-lyceum-address_s01_p25_s05_lu069;lincoln-lyceum-address_s01_p25_s05_lu071,Abstract civic faculties and memorial expectation are treated through bodily and material processes.,provisional
lincoln-cmt-050,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p26_s01,fabric / freedom / rest / rock / basis / gates / hell / prevail,architecture_building,,freedom,FREEDOM IS ARCHITECTURE BUILDING,lincoln-01-body-organism,0.9,lincoln-lyceum-address_s01_p26_s01_lu006;lincoln-lyceum-address_s01_p26_s01_lu008;lincoln-lyceum-address_s01_p26_s01_lu009;lincoln-lyceum-address_s01_p26_s01_lu012;lincoln-lyceum-address_s01_p26_s01_lu015;lincoln-lyceum-address_s01_p26_s01_lu029;lincoln-lyceum-address_s01_p26_s01_lu031;lincoln-lyceum-address_s01_p26_s01_lu034,Abstract freedom is construed as a physical structure with a foundation and biblical fortification imagery.,provisional
lincoln-cmt-051,lincoln,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p01_s01,brought / forth / conceived / dedicated,birth_generation,,nation,NATION IS BIRTH GENERATION,lincoln-01-body-organism,0.83,lincoln-gettysburg-address_s01_p01_s01_lu009;lincoln-gettysburg-address_s01_p01_s01_lu010;lincoln-gettysburg-address_s01_p01_s01_lu017;lincoln-gettysburg-address_s01_p01_s01_lu021,"The nation is not literally born, yet its founding is framed through birth-generation language.",provisional
lincoln-cmt-052,lincoln,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p02_s01,endure,nature_organism,,nation,NATION IS NATURE ORGANISM,lincoln-01-body-organism,0.72,lincoln-gettysburg-address_s01_p02_s01_lu024,"A polity is not a biological organism, but its political existence is construed as bodily life or death.",provisional
lincoln-cmt-053,lincoln,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p03_s01,resting / gave / live,body,,war_death,WAR DEATH IS BODY,lincoln-01-body-organism,0.837,lincoln-gettysburg-address_s01_p03_s01_lu014;lincoln-gettysburg-address_s01_p03_s01_lu020;lincoln-gettysburg-address_s01_p03_s01_lu027,The contextual meaning concerns burial/death rather than ordinary bodily rest after exertion.,provisional
lincoln-cmt-054,lincoln,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p04_s03,world / note / remember / forget,body,,history,HISTORY IS BODY,lincoln-01-body-organism,0.84,lincoln-gettysburg-address_s01_p04_s03_lu002;lincoln-gettysburg-address_s01_p04_s03_lu005;lincoln-gettysburg-address_s01_p04_s03_lu008;lincoln-gettysburg-address_s01_p04_s03_lu017,The world is treated as a remembering person.,provisional
lincoln-cmt-055,lincoln,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p05_s02,dedicated / gave / measure / birth / perish,religion_providence,,citizenship,CITIZENSHIP IS RELIGION PROVIDENCE,lincoln-06-providence-theodicy,0.85,lincoln-gettysburg-address_s01_p05_s02_lu009;lincoln-gettysburg-address_s01_p05_s02_lu032;lincoln-gettysburg-address_s01_p05_s02_lu036;lincoln-gettysburg-address_s01_p05_s02_lu062;lincoln-gettysburg-address_s01_p05_s02_lu079,The living are not physically set apart like an object or place; they are morally committed to a public task.,provisional
lincoln-cmt-056,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p01_s03,contest / absorbs / engrosses,war_combat,,civil_war,CIVIL WAR IS WAR COMBAT,lincoln-01-body-organism,0.72,lincoln-second-inaugural_s01_p01_s03_lu025;lincoln-second-inaugural_s01_p01_s03_lu028;lincoln-second-inaugural_s01_p01_s03_lu032,Public affairs and attention are construed through combat and physical absorption.,provisional
lincoln-cmt-057,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p02_s03,dissolve / divide,object_material,,union,UNION IS OBJECT MATERIAL,lincoln-02-covenant-oath,0.86,lincoln-second-inaugural_s01_p02_s03_lu033;lincoln-second-inaugural_s01_p02_s03_lu037,The constitutional Union is abstract-political but construed as a separable material entity.,provisional
lincoln-cmt-058,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p02_s04,survive / perish,nature_organism,,nation,NATION IS NATURE ORGANISM,lincoln-01-body-organism,0.9,lincoln-second-inaugural_s01_p02_s04_lu017;lincoln-second-inaugural_s01_p02_s04_lu028,"A polity is not a biological organism, but its political existence is construed as bodily life or death.",provisional
lincoln-cmt-059,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p03_s04,rend,object_material,,union,UNION IS OBJECT MATERIAL,lincoln-02-covenant-oath,0.86,lincoln-second-inaugural_s01_p03_s04_lu016,The constitutional Union is abstract-political but construed as a separable material entity.,provisional
lincoln-cmt-060,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p04_s05,wringing / bread / sweat / faces,body,,slavery,SLAVERY IS BODY,lincoln-01-body-organism,0.84,lincoln-second-inaugural_s01_p04_s05_lu017;lincoln-second-inaugural_s01_p04_s05_lu019;lincoln-second-inaugural_s01_p04_s05_lu022;lincoln-second-inaugural_s01_p04_s05_lu026,The expression frames exploitation through bodily extraction and biblical labor idiom.,provisional
lincoln-cmt-061,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p05_s02,Woe / offenses / offenses / woe / offense / offenses / providence / gives / woe / offense,religion_providence,,slavery,SLAVERY IS RELIGION PROVIDENCE,lincoln-06-providence-theodicy,0.58,lincoln-second-inaugural_s01_p05_s02_lu001;lincoln-second-inaugural_s01_p05_s02_lu007;lincoln-second-inaugural_s01_p05_s02_lu014;lincoln-second-inaugural_s01_p05_s02_lu017;lincoln-second-inaugural_s01_p05_s02_lu024;lincoln-second-inaugural_s01_p05_s02_lu037;lincoln-second-inaugural_s01_p05_s02_lu041;lincoln-second-inaugural_s01_p05_s02_lu063;lincoln-second-inaugural_s01_p05_s02_lu074;lincoln-second-inaugural_s01_p05_s02_lu081,Biblical usage may be conventional theological idiom rather than a separable metaphor.,provisional
lincoln-cmt-062,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p05_s03,scourge / pass,body,,war_death,WAR DEATH IS BODY,lincoln-01-body-organism,0.82,lincoln-second-inaugural_s01_p05_s03_lu012;lincoln-second-inaugural_s01_p05_s03_lu017,"War is not literally a whip, but it is explicitly called a scourge.",provisional
lincoln-cmt-063,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p05_s04,sunk / paid / sword / judgments,debt_accounting,,slavery,SLAVERY IS DEBT ACCOUNTING,lincoln-07-absence-black-agency,0.718,lincoln-second-inaugural_s01_p05_s04_lu026;lincoln-second-inaugural_s01_p05_s04_lu039;lincoln-second-inaugural_s01_p05_s04_lu045;lincoln-second-inaugural_s01_p05_s04_lu060,Wealth is not literally submerged; it is imagined as disappearing downward or being consumed.,provisional
lincoln-cmt-064,lincoln,lincoln-second-inaugural,lincoln-second-inaugural_s01_p06_s01,bind / wounds / cherish,body,,nation,NATION IS BODY,lincoln-01-body-organism,0.86,lincoln-second-inaugural_s01_p06_s01_lu034;lincoln-second-inaugural_s01_p06_s01_lu038;lincoln-second-inaugural_s01_p06_s01_lu063,The nation is treated as an injured body capable of wounds and care.,provisional
